"('QNaN',)",[['QNaN']]
"('7392', 'Cycles', 'Clock Cycles', 'Clock')","[['Cycles', 'Clock'], ['7392', 'Cycles', 'Clock'], ['Clock Cycles', '7392', 'Cycles']]"
"('Without',)",[['Without']]
"('subtraction',)",[['subtraction']]
"('stages',)",[['stages']]
"('Conversions', 'strings', 'format')","[['Conversions', 'format', 'strings'], ['format', 'strings']]"
"('Introduction',)",[['Introduction']]
"('Al-Eryani',)",[['Al-Eryani']]
"('cases',)",[['cases']]
"('efficient', 'calculated', 'iterative', 'fast', 'need', 'implementations', 'loops', 'divisors')","[['implementations', 'iterative'], ['loops', 'implementations', 'iterative'], ['need', 'fast', 'iterative'], ['fast', 'iterative'], ['calculated', 'divisors', 'implementations'], ['divisors', 'implementations', 'iterative'], ['efficient', 'calculated', 'divisors'], ['divisors', 'implementations', 'loops'], ['fast', 'iterative', 'implementations']]"
"('Worth mentioning', 'Million test')","[['Million test', 'Worth mentioning']]"
"('Conclusion',)",[['Conclusion']]
"('divided', 'components')","[['divided', 'components']]"
"('process', 'serially', 'schools', 'taught')","[['serially', 'process'], ['schools', 'process'], ['taught', 'process'], ['schools', 'process', 'serially'], ['schools', 'process', 'taught'], ['serially', 'process', 'taught']]"
"('QNaN string',)",[['QNaN string']]
"('supported',)",[['supported']]
"('necessary', 'normal')","[['necessary', 'normal']]"
"('0.0100',)",[['0.0100']]
"('vectors', '14')","[['14', 'vectors']]"
"('VHDL code,', 'detail please')","[['detail please', 'VHDL code,']]"
"('NA',)",[['NA']]
"('Interface',)",[['Interface']]
"('round-up',)",[['round-up']]
"('pipelining', 'throughput', 'reach')","[['throughput', 'reach'], ['pipelining', 'throughput', 'reach']]"
"('project', 'dependent', 'width', 'basic-', 'doesnt concern')","[['basic-', 'project', 'dependent'], ['project', 'dependent', 'width'], ['dependent', 'width'], ['doesnt concern', 'basic-', 'project']]"
"('IEP1C6Q240C6', 'Quartus', 'FPUs', 'Cyclone IEP1C6Q240C6', 'Quartus II', 'Quartus II v.5')","[['FPUs', 'IEP1C6Q240C6', 'Quartus'], ['IEP1C6Q240C6', 'Quartus', 'Cyclone IEP1C6Q240C6'], ['Quartus', 'Cyclone IEP1C6Q240C6'], ['Quartus II', 'Cyclone IEP1C6Q240C6'], ['Quartus II v.5', 'Quartus II', 'Cyclone IEP1C6Q240C6'], ['Quartus', 'Cyclone IEP1C6Q240C6', 'Quartus II']]"
"('Institute', 'common', 'define')","[['common', 'Institute'], ['define', 'common', 'Institute']]"
"('whenever tininess', 'denormalization loss', 'underflow exception', 'exception whenever')","[['underflow exception', 'whenever tininess'], ['exception whenever', 'underflow exception', 'whenever tininess'], ['denormalization loss', 'underflow exception', 'whenever tininess'], ['denormalization loss', 'underflow exception', 'exception whenever']]"
"('1.4', 'losing')","[['1.4', 'losing']]"
"('independent', 'chip', 'since')","[['chip', 'independent'], ['since', 'chip', 'independent']]"
"('Acrobat PDFMaker', 'Word', 'Acrobat', 'PDFMaker')","[['Acrobat', 'Acrobat PDFMaker'], ['Word', 'Acrobat', 'Acrobat PDFMaker'], ['PDFMaker', 'Acrobat PDFMaker'], ['Acrobat', 'Acrobat PDFMaker', 'PDFMaker']]"
"('Step1', 'get')","[['get', 'Step1']]"
"('Square-root unit:', 'Square-root')","[['Square-root', 'Square-root unit:']]"
"('exponent range', 'maximum value', 'range', 'infinity', 'doesnt trigger')","[['range', 'infinity'], ['doesnt trigger', 'infinity'], ['exponent range', 'infinity'], ['maximum value', 'infinity'], ['doesnt trigger', 'infinity', 'exponent range'], ['doesnt trigger', 'infinity', 'maximum value'], ['doesnt trigger', 'infinity', 'range'], ['exponent range', 'infinity', 'maximum value'], ['exponent range', 'infinity', 'range'], ['maximum value', 'infinity', 'range']]"
"('Divide',)",[['Divide']]
"('whole range', '-27', 'exponent placeholder,', 'fraction bit')","[['-27', 'whole range'], ['exponent placeholder,', '-27', 'whole range'], ['fraction bit', '-27', 'whole range'], ['exponent placeholder,', '-27', 'fraction bit']]"
"('QNaN exception', 'shall')","[['shall', 'QNaN exception']]"
"('Computer', 'David', 'Scientist', 'Goldberg', 'Know', 'Arithmetic')","[['Scientist', 'Computer', 'Know'], ['Computer', 'Know'], ['Goldberg', 'Arithmetic', 'Scientist'], ['Arithmetic', 'Scientist', 'Computer'], ['David', 'Arithmetic', 'Scientist'], ['David', 'Arithmetic', 'Goldberg']]"
"('integer',)",[['integer']]
"('current', 'modular', 'designed', 'core')","[['current', 'designed'], ['modular', 'current', 'designed'], ['core', 'current', 'designed'], ['core', 'current', 'modular']]"
"('restricted', 'overflow', 'trigger', 'overflow exception')","[['restricted', 'overflow', 'trigger'], ['overflow', 'trigger', 'overflow exception'], ['trigger', 'overflow exception']]"
"('1.1101',)",[['1.1101']]
"('Top unit:', 'Top', '326')","[['Top', '326'], ['Top unit:', 'Top', '326']]"
"('Division unit:',)",[['Division unit:']]
"('hardware area',)",[['hardware area']]
"('value',)",[['value']]
"('Altera',)",[['Altera']]
"('string', 'subject')","[['string', 'subject']]"
"('Subtract',)",[['Subtract']]
"('ready_o', 'rmode_i', 'Description')","[['ready_o', 'Description'], ['rmode_i', 'Description'], ['ready_o', 'Description', 'rmode_i']]"
"('Single precision', 'Single')","[['Single', 'Single precision']]"
"('Rounded',)",[['Rounded']]
"('post-normalization unit',)",[['post-normalization unit']]
"('fracO',)",[['fracO']]
"('frequency', 'MHz operating frequency', 'operating')","[['operating', 'MHz operating frequency'], ['frequency', 'MHz operating frequency'], ['frequency', 'MHz operating frequency', 'operating']]"
"('open', 'presented')","[['presented', 'open']]"
"('zeros',)",[['zeros']]
"('11111111',)",[['11111111']]
"('shown', 'lot')","[['shown', 'lot']]"
"('shift', 'smaller', 'us', 'gives')","[['smaller', 'us'], ['gives', 'us'], ['shift', 'smaller', 'us'], ['gives', 'us', 'smaller']]"
"('tested', 'verified')","[['tested', 'verified']]"
