"('xml',)",[['xml']]
"('hif_en_n', 'cas latency', 'target', 'host debug', 'gpio', 'bvref', 'error correction,', 'system', 'pull-up', 'syspll', 'debug port', 'host', 'connected.', 'main system', 'pins', 'input', 'geographic', 'perst_n', 'used.', 'debug.')","[['hif_en_n', 'host', 'pins', 'geographic', 'target'], ['hif_en_n', 'host', 'debug port', 'host debug'], ['hif_en_n', 'host', 'gpio'], ['hif_en_n', 'host', 'pins', 'bvref', 'main system', 'system', 'used.', 'error correction,'], ['hif_en_n', 'host', 'pins', 'bvref', 'main system', 'system', 'pull-up'], ['hif_en_n', 'host', 'syspll'], ['hif_en_n', 'host', 'pins', 'bvref', 'main system', 'system', 'used.', 'cas latency', 'connected.'], ['hif_en_n', 'host', 'pins', 'bvref', 'main system', 'system', 'used.', 'input'], ['hif_en_n', 'host', 'perst_n'], ['hif_en_n', 'host', 'pins', 'bvref', 'main system', 'system', 'used.', 'cas latency', 'debug.'], ['target', 'geographic', 'pins', 'host', 'debug port', 'host debug'], ['target', 'geographic', 'pins', 'host', 'gpio'], ['target', 'geographic', 'pins', 'bvref', 'main system', 'system', 'used.', 'error correction,'], ['target', 'geographic', 'pins', 'bvref', 'main system', 'system', 'pull-up'], ['target', 'geographic', 'pins', 'host', 'syspll'], ['target', 'geographic', 'pins', 'bvref', 'main system', 'system', 'used.', 'cas latency', 'connected.'], ['target', 'geographic', 'pins', 'bvref', 'main system', 'system', 'used.', 'input'], ['target', 'geographic', 'pins', 'host', 'perst_n'], ['target', 'geographic', 'pins', 'bvref', 'main system', 'system', 'used.', 'cas latency', 'debug.'], ['host debug', 'debug port', 'host', 'gpio'], ['host debug', 'debug port', 'host', 'pins', 'bvref', 'main system', 'system', 'used.', 'error correction,'], ['host debug', 'debug port', 'host', 'pins', 'bvref', 'main system', 'system', 'pull-up'], ['host debug', 'debug port', 'host', 'syspll'], ['host debug', 'debug port', 'host', 'pins', 'bvref', 'main system', 'system', 'used.', 'cas latency', 'connected.'], ['host debug', 'debug port', 'host', 'pins', 'bvref', 'main system', 'system', 'used.', 'input'], ['host debug', 'debug port', 'host', 'perst_n'], ['host debug', 'debug port', 'host', 'pins', 'bvref', 'main system', 'system', 'used.', 'cas latency', 'debug.'], ['gpio', 'host', 'pins', 'bvref', 'main system', 'system', 'used.', 'error correction,'], ['gpio', 'host', 'pins', 'bvref', 'main system', 'system', 'pull-up'], ['gpio', 'host', 'syspll'], ['gpio', 'host', 'pins', 'bvref', 'main system', 'system', 'used.', 'cas latency', 'connected.'], ['gpio', 'host', 'pins', 'bvref', 'main system', 'system', 'used.', 'input'], ['gpio', 'host', 'perst_n'], ['gpio', 'host', 'pins', 'bvref', 'main system', 'system', 'used.', 'cas latency', 'debug.'], ['error correction,', 'used.', 'system', 'pull-up'], ['error correction,', 'used.', 'system', 'main system', 'bvref', 'pins', 'host', 'syspll'], ['error correction,', 'used.', 'cas latency', 'connected.'], ['error correction,', 'used.', 'input'], ['error correction,', 'used.', 'system', 'main system', 'bvref', 'pins', 'host', 'perst_n'], ['error correction,', 'used.', 'cas latency', 'debug.'], ['pull-up', 'system', 'main system', 'bvref', 'pins', 'host', 'syspll'], ['pull-up', 'system', 'used.', 'cas latency', 'connected.'], ['pull-up', 'system', 'used.', 'input'], ['pull-up', 'system', 'main system', 'bvref', 'pins', 'host', 'perst_n'], ['pull-up', 'system', 'used.', 'cas latency', 'debug.'], ['syspll', 'host', 'pins', 'bvref', 'main system', 'system', 'used.', 'cas latency', 'connected.'], ['syspll', 'host', 'pins', 'bvref', 'main system', 'system', 'used.', 'input'], ['syspll', 'host', 'perst_n'], ['syspll', 'host', 'pins', 'bvref', 'main system', 'system', 'used.', 'cas latency', 'debug.'], ['connected.', 'cas latency', 'used.', 'input'], ['connected.', 'cas latency', 'used.', 'system', 'main system', 'bvref', 'pins', 'host', 'perst_n'], ['connected.', 'cas latency', 'debug.'], ['input', 'used.', 'system', 'main system', 'bvref', 'pins', 'host', 'perst_n'], ['input', 'used.', 'cas latency', 'debug.'], ['perst_n', 'host', 'pins', 'bvref', 'main system', 'system', 'used.', 'cas latency', 'debug.']]"
"('section4.3',)",[['section4.3']]
"('pair', 'paths', 'well', 'incoming', 'models')","[['pair', 'well', 'paths'], ['pair', 'well', 'incoming', 'models'], ['paths', 'well', 'incoming', 'models']]"
"('multiplied', 'observed', 'bring', 'nominal', 'active', 'machines', 'wait')","[['multiplied', 'active', 'wait', 'observed'], ['multiplied', 'active', 'wait', 'bring'], ['multiplied', 'active', 'wait', 'nominal'], ['multiplied', 'active', 'wait', 'machines'], ['observed', 'wait', 'bring'], ['observed', 'wait', 'nominal'], ['observed', 'wait', 'machines'], ['bring', 'wait', 'nominal'], ['bring', 'wait', 'machines'], ['nominal', 'wait', 'machines']]"
"('2.8.1',)",[['2.8.1']]
"('2.1.5',)",[['2.1.5']]
"('1.2',)",[['1.2']]
"('csx700 dram', 'designs', 'clock', 'controller', 'detected', 'results', 'hdp i/o', 'low-latency access', 'optimized', 'processor.', 'ddr2-533 dram')","[['csx700 dram', 'processor.', 'clock', 'optimized', 'designs'], ['csx700 dram', 'processor.', 'controller'], ['csx700 dram', 'processor.', 'clock', 'optimized', 'detected'], ['csx700 dram', 'processor.', 'clock', 'optimized', 'results'], ['csx700 dram', 'processor.', 'hdp i/o'], ['csx700 dram', 'processor.', 'low-latency access'], ['csx700 dram', 'processor.', 'ddr2-533 dram'], ['designs', 'optimized', 'clock', 'processor.', 'controller'], ['designs', 'optimized', 'detected'], ['designs', 'optimized', 'results'], ['designs', 'optimized', 'clock', 'processor.', 'hdp i/o'], ['designs', 'optimized', 'clock', 'processor.', 'low-latency access'], ['designs', 'optimized', 'clock', 'processor.', 'ddr2-533 dram'], ['controller', 'processor.', 'clock', 'optimized', 'detected'], ['controller', 'processor.', 'clock', 'optimized', 'results'], ['controller', 'processor.', 'hdp i/o'], ['controller', 'processor.', 'low-latency access'], ['controller', 'processor.', 'ddr2-533 dram'], ['detected', 'optimized', 'results'], ['detected', 'optimized', 'clock', 'processor.', 'hdp i/o'], ['detected', 'optimized', 'clock', 'processor.', 'low-latency access'], ['detected', 'optimized', 'clock', 'processor.', 'ddr2-533 dram'], ['results', 'optimized', 'clock', 'processor.', 'hdp i/o'], ['results', 'optimized', 'clock', 'processor.', 'low-latency access'], ['results', 'optimized', 'clock', 'processor.', 'ddr2-533 dram'], ['hdp i/o', 'processor.', 'low-latency access'], ['hdp i/o', 'processor.', 'ddr2-533 dram'], ['low-latency access', 'processor.', 'ddr2-533 dram']]"
"('chip-to-chip interface', 'interconnected', 'host interface,')","[['chip-to-chip interface', 'interconnected', 'host interface,']]"
"('requested', 'respective', 'faster', 'fields', 'sequential', 'design', 'descriptions', 'shared', 'output', 'implemented')","[['requested', 'design', 'faster', 'respective'], ['requested', 'design', 'sequential', 'fields'], ['requested', 'design', 'sequential', 'descriptions'], ['requested', 'design', 'faster', 'output', 'shared'], ['requested', 'design', 'sequential', 'implemented'], ['respective', 'faster', 'design', 'sequential', 'fields'], ['respective', 'faster', 'design', 'sequential', 'descriptions'], ['respective', 'faster', 'output', 'shared'], ['respective', 'faster', 'design', 'sequential', 'implemented'], ['fields', 'sequential', 'descriptions'], ['fields', 'sequential', 'design', 'faster', 'output', 'shared'], ['fields', 'sequential', 'implemented'], ['descriptions', 'sequential', 'design', 'faster', 'output', 'shared'], ['descriptions', 'sequential', 'implemented'], ['shared', 'output', 'faster', 'design', 'sequential', 'implemented']]"
"('3.5',)",[['3.5']]
"('life', 'remote', 'level', 'providing', 'present', '96')","[['life', 'providing', 'remote'], ['life', 'providing', 'level', 'present'], ['life', 'providing', 'level', '96'], ['remote', 'providing', 'level', 'present'], ['remote', 'providing', 'level', '96'], ['present', 'level', '96']]"
"('4.3',)",[['4.3']]
"('unconnected.', 'birq_ n,', 'ii mode')","[['unconnected.', 'ii mode', 'birq_ n,']]"
"('memory unit',)",[['memory unit']]
"('access port', 'scan', 'instruments', 'organized', 'executing', 'forwarding', 'access', 'protected', 'shifted', 'national instruments lm86,', 'description', 'test access', 'continuous', 'mechanisms', 'records', 'incorporates', 'pairs', 'chained', 'permits', 'anywhere', 'scan test', 'jtag boundary')","[['access port', 'jtag boundary', 'scan test', 'scan'], ['access port', 'jtag boundary', 'scan test', 'access', 'instruments'], ['access port', 'jtag boundary', 'scan test', 'access', 'continuous', 'executing'], ['access port', 'jtag boundary', 'scan test', 'access', 'continuous', 'forwarding'], ['access port', 'jtag boundary', 'scan test', 'access', 'continuous', 'organized', 'protected'], ['access port', 'jtag boundary', 'scan test', 'access', 'continuous', 'shifted'], ['access port', 'jtag boundary', 'scan test', 'access', 'continuous', 'national instruments lm86,'], ['access port', 'jtag boundary', 'test access'], ['access port', 'jtag boundary', 'scan test', 'access', 'records'], ['access port', 'jtag boundary', 'scan test', 'access', 'continuous', 'organized', 'pairs'], ['access port', 'jtag boundary', 'scan test', 'access', 'continuous', 'chained'], ['scan', 'scan test', 'access', 'instruments'], ['scan', 'scan test', 'access', 'continuous', 'executing'], ['scan', 'scan test', 'access', 'continuous', 'forwarding'], ['scan', 'scan test', 'access', 'continuous', 'organized', 'protected'], ['scan', 'scan test', 'access', 'continuous', 'shifted'], ['scan', 'scan test', 'access', 'continuous', 'national instruments lm86,'], ['scan', 'scan test', 'jtag boundary', 'test access'], ['scan', 'scan test', 'access', 'records'], ['scan', 'scan test', 'access', 'continuous', 'organized', 'pairs'], ['scan', 'scan test', 'access', 'continuous', 'chained'], ['instruments', 'access', 'continuous', 'executing'], ['instruments', 'access', 'continuous', 'forwarding'], ['instruments', 'access', 'continuous', 'organized', 'protected'], ['instruments', 'access', 'continuous', 'shifted'], ['instruments', 'access', 'continuous', 'national instruments lm86,'], ['instruments', 'access', 'scan test', 'jtag boundary', 'test access'], ['instruments', 'access', 'records'], ['instruments', 'access', 'continuous', 'organized', 'pairs'], ['instruments', 'access', 'continuous', 'chained'], ['executing', 'continuous', 'forwarding'], ['executing', 'continuous', 'organized', 'protected'], ['executing', 'continuous', 'shifted'], ['executing', 'continuous', 'national instruments lm86,'], ['executing', 'continuous', 'access', 'scan test', 'jtag boundary', 'test access'], ['executing', 'continuous', 'access', 'records'], ['executing', 'continuous', 'organized', 'pairs'], ['executing', 'continuous', 'chained'], ['forwarding', 'continuous', 'organized', 'protected'], ['forwarding', 'continuous', 'shifted'], ['forwarding', 'continuous', 'national instruments lm86,'], ['forwarding', 'continuous', 'access', 'scan test', 'jtag boundary', 'test access'], ['forwarding', 'continuous', 'access', 'records'], ['forwarding', 'continuous', 'organized', 'pairs'], ['forwarding', 'continuous', 'chained'], ['protected', 'organized', 'continuous', 'shifted'], ['protected', 'organized', 'continuous', 'national instruments lm86,'], ['protected', 'organized', 'continuous', 'access', 'scan test', 'jtag boundary', 'test access'], ['protected', 'organized', 'continuous', 'access', 'records'], ['protected', 'organized', 'pairs'], ['protected', 'organized', 'continuous', 'chained'], ['shifted', 'continuous', 'national instruments lm86,'], ['shifted', 'continuous', 'access', 'scan test', 'jtag boundary', 'test access'], ['shifted', 'continuous', 'access', 'records'], ['shifted', 'continuous', 'organized', 'pairs'], ['shifted', 'continuous', 'chained'], ['national instruments lm86,', 'continuous', 'access', 'scan test', 'jtag boundary', 'test access'], ['national instruments lm86,', 'continuous', 'access', 'records'], ['national instruments lm86,', 'continuous', 'organized', 'pairs'], ['national instruments lm86,', 'continuous', 'chained'], ['test access', 'jtag boundary', 'scan test', 'access', 'records'], ['test access', 'jtag boundary', 'scan test', 'access', 'continuous', 'organized', 'pairs'], ['test access', 'jtag boundary', 'scan test', 'access', 'continuous', 'chained'], ['records', 'access', 'continuous', 'organized', 'pairs'], ['records', 'access', 'continuous', 'chained'], ['pairs', 'organized', 'continuous', 'chained']]"
"('4.5',)",[['4.5']]
"('ensure', 'exceed', 'within', 'complicated')","[['ensure', 'within', 'exceed'], ['ensure', 'within', 'complicated'], ['exceed', 'within', 'complicated']]"
"('i/o', 'vddio', 'pll')","[['i/o', 'pll', 'vddio']]"
"('configured', 'device.', 'memory space')","[['device.', 'configured', 'memory space']]"
"('memory reference', 'bootstrap sequence', 'interrupts.', 'input register', 'bootstrap', 'voltage', 'below.', 'minimize jitter', 'compliant.', 'device use', 'reference voltage,', 'whole', 'ieee', 'unit.')","[['memory reference', 'ieee', 'bootstrap sequence', 'bootstrap', 'whole', 'below.', 'interrupts.'], ['memory reference', 'ieee', 'bootstrap sequence', 'bootstrap', 'whole', 'below.', 'unit.', 'input register'], ['memory reference', 'ieee', 'bootstrap sequence', 'voltage'], ['memory reference', 'ieee', 'minimize jitter'], ['memory reference', 'ieee', 'bootstrap sequence', 'bootstrap', 'whole', 'below.', 'compliant.'], ['memory reference', 'ieee', 'device use'], ['memory reference', 'ieee', 'reference voltage,'], ['interrupts.', 'below.', 'unit.', 'input register'], ['interrupts.', 'below.', 'whole', 'bootstrap', 'bootstrap sequence', 'voltage'], ['interrupts.', 'below.', 'whole', 'bootstrap', 'bootstrap sequence', 'ieee', 'minimize jitter'], ['interrupts.', 'below.', 'compliant.'], ['interrupts.', 'below.', 'whole', 'bootstrap', 'bootstrap sequence', 'ieee', 'device use'], ['interrupts.', 'below.', 'whole', 'bootstrap', 'bootstrap sequence', 'ieee', 'reference voltage,'], ['input register', 'unit.', 'below.', 'whole', 'bootstrap', 'bootstrap sequence', 'voltage'], ['input register', 'unit.', 'below.', 'whole', 'bootstrap', 'bootstrap sequence', 'ieee', 'minimize jitter'], ['input register', 'unit.', 'below.', 'compliant.'], ['input register', 'unit.', 'below.', 'whole', 'bootstrap', 'bootstrap sequence', 'ieee', 'device use'], ['input register', 'unit.', 'below.', 'whole', 'bootstrap', 'bootstrap sequence', 'ieee', 'reference voltage,'], ['voltage', 'bootstrap sequence', 'ieee', 'minimize jitter'], ['voltage', 'bootstrap sequence', 'bootstrap', 'whole', 'below.', 'compliant.'], ['voltage', 'bootstrap sequence', 'ieee', 'device use'], ['voltage', 'bootstrap sequence', 'ieee', 'reference voltage,'], ['minimize jitter', 'ieee', 'bootstrap sequence', 'bootstrap', 'whole', 'below.', 'compliant.'], ['minimize jitter', 'ieee', 'device use'], ['minimize jitter', 'ieee', 'reference voltage,'], ['compliant.', 'below.', 'whole', 'bootstrap', 'bootstrap sequence', 'ieee', 'device use'], ['compliant.', 'below.', 'whole', 'bootstrap', 'bootstrap sequence', 'ieee', 'reference voltage,'], ['device use', 'ieee', 'reference voltage,']]"
"('sequences', 'resetting', 'higher')","[['sequences', 'resetting', 'higher']]"
"('ctap config depend', 'depend', 'frequencies')","[['depend', 'ctap config depend', 'frequencies']]"
"('line', 'internally', 'due', 'drive')","[['internally', 'due', 'line', 'drive']]"
"('vref pin', 'pecl mode', 'pll control', 'hdp clock')","[['pecl mode', 'vref pin', 'pll control'], ['pecl mode', 'vref pin', 'hdp clock'], ['pll control', 'vref pin', 'hdp clock']]"
"('memory bandwidth', 'optimize performance,', 'boot time,', 'boot', 'bga trace', 'ddr2 design', 'address aperture', 'board layout,', 'aperture unit,', 'type column', 'processing power')","[['memory bandwidth', 'boot', 'optimize performance,'], ['memory bandwidth', 'boot', 'ddr2 design', 'boot time,'], ['memory bandwidth', 'boot', 'bga trace'], ['memory bandwidth', 'boot', 'ddr2 design', 'address aperture'], ['memory bandwidth', 'boot', 'board layout,'], ['memory bandwidth', 'boot', 'ddr2 design', 'aperture unit,'], ['memory bandwidth', 'boot', 'type column'], ['memory bandwidth', 'boot', 'processing power'], ['optimize performance,', 'boot', 'ddr2 design', 'boot time,'], ['optimize performance,', 'boot', 'bga trace'], ['optimize performance,', 'boot', 'ddr2 design', 'address aperture'], ['optimize performance,', 'boot', 'board layout,'], ['optimize performance,', 'boot', 'ddr2 design', 'aperture unit,'], ['optimize performance,', 'boot', 'type column'], ['optimize performance,', 'boot', 'processing power'], ['boot time,', 'ddr2 design', 'boot', 'bga trace'], ['boot time,', 'ddr2 design', 'address aperture'], ['boot time,', 'ddr2 design', 'boot', 'board layout,'], ['boot time,', 'ddr2 design', 'aperture unit,'], ['boot time,', 'ddr2 design', 'boot', 'type column'], ['boot time,', 'ddr2 design', 'boot', 'processing power'], ['bga trace', 'boot', 'ddr2 design', 'address aperture'], ['bga trace', 'boot', 'board layout,'], ['bga trace', 'boot', 'ddr2 design', 'aperture unit,'], ['bga trace', 'boot', 'type column'], ['bga trace', 'boot', 'processing power'], ['address aperture', 'ddr2 design', 'boot', 'board layout,'], ['address aperture', 'ddr2 design', 'aperture unit,'], ['address aperture', 'ddr2 design', 'boot', 'type column'], ['address aperture', 'ddr2 design', 'boot', 'processing power'], ['board layout,', 'boot', 'ddr2 design', 'aperture unit,'], ['board layout,', 'boot', 'type column'], ['board layout,', 'boot', 'processing power'], ['aperture unit,', 'ddr2 design', 'boot', 'type column'], ['aperture unit,', 'ddr2 design', 'boot', 'processing power'], ['type column', 'boot', 'processing power']]"
"('attached', 'final')","[['attached', 'final']]"
"('2.1.2',)",[['2.1.2']]
"('reference', 'centre', 'jedec', 'clk_p', 'clk_n', 'buref0..9')","[['jedec', 'centre', 'reference', 'clk_p'], ['jedec', 'centre', 'reference', 'clk_n'], ['jedec', 'centre', 'reference', 'buref0..9'], ['clk_p', 'reference', 'clk_n'], ['clk_p', 'reference', 'buref0..9'], ['clk_n', 'reference', 'buref0..9']]"
"('compliant state', 'sstl i/o', 'ctap system', 'jtag port,', 'pll reference', 'sstl class')","[['compliant state', 'pll reference', 'jtag port,', 'sstl class', 'sstl i/o', 'ctap system']]"
"('driven', 'separate')","[['driven', 'separate']]"
"('high', 'acting', 'voltage level', 'sequence')","[['high', 'voltage level', 'acting'], ['high', 'voltage level', 'sequence'], ['acting', 'voltage level', 'sequence']]"
"('150', 'class ii mode', 'ended', 'pll control register', 'also', 'although', 'swing', 'dynamically')","[['150', 'swing', 'also', 'class ii mode'], ['150', 'swing', 'ended'], ['150', 'swing', 'pll control register'], ['150', 'swing', 'although'], ['150', 'swing', 'dynamically'], ['class ii mode', 'also', 'swing', 'ended'], ['class ii mode', 'also', 'swing', 'pll control register'], ['class ii mode', 'also', 'swing', 'although'], ['class ii mode', 'also', 'swing', 'dynamically'], ['ended', 'swing', 'pll control register'], ['ended', 'swing', 'although'], ['ended', 'swing', 'dynamically'], ['pll control register', 'swing', 'although'], ['pll control register', 'swing', 'dynamically'], ['although', 'swing', 'dynamically']]"
"('bus ccb', '1.10', 'ccb')","[['1.10', 'bus ccb', 'ccb']]"
"('mu', 'reference voltage', 'cdi')","[['mu', 'cdi', 'reference voltage']]"
"('jtag boundary scan', 'boundary', '2.8')","[['boundary', 'jtag boundary scan', '2.8']]"
"('2.1',)",[['2.1']]
"('cores', 'rate')","[['cores', 'rate']]"
"('reset', 'ratio', '_n', 'srefclk_p', '2.7.1', 'avtt', 'avtr')","[['srefclk_p', 'ratio', 'reset', '2.7.1'], ['srefclk_p', 'ratio', 'reset', '_n', 'avtt'], ['srefclk_p', 'ratio', 'avtr'], ['2.7.1', 'reset', '_n', 'avtt'], ['2.7.1', 'reset', 'ratio', 'avtr'], ['avtt', '_n', 'reset', 'ratio', 'avtr']]"
"('table19', 'inter-processor')","[['table19', 'inter-processor']]"
"('host debug port', '1.3')","[['host debug port', '1.3']]"
"('mtap architecture', 'processing solution,', 'processing and/or', 'i/o capability,', 'processing')","[['processing solution,', 'mtap architecture', 'processing and/or', 'processing', 'i/o capability,']]"
"('24', 'special', 'performs')","[['special', '24', 'performs']]"
"('latency', 'straightforward', 'service', 'bits', 'amounts', 'use.', 'others', 'system service', 'devices', 'external', 'key', 'address width', 'operated', 'provision', 'channel')","[['latency', 'straightforward', 'service'], ['latency', 'straightforward', 'devices', 'bits'], ['latency', 'straightforward', 'use.'], ['latency', 'straightforward', 'devices', 'others'], ['latency', 'straightforward', 'external', 'channel', 'amounts', 'key'], ['latency', 'straightforward', 'address width'], ['latency', 'straightforward', 'operated'], ['latency', 'straightforward', 'provision'], ['service', 'straightforward', 'devices', 'bits'], ['service', 'straightforward', 'use.'], ['service', 'straightforward', 'devices', 'others'], ['service', 'straightforward', 'external', 'channel', 'amounts', 'key'], ['service', 'straightforward', 'address width'], ['service', 'straightforward', 'operated'], ['service', 'straightforward', 'provision'], ['bits', 'devices', 'straightforward', 'use.'], ['bits', 'devices', 'others'], ['bits', 'devices', 'straightforward', 'external', 'channel', 'amounts', 'key'], ['bits', 'devices', 'straightforward', 'address width'], ['bits', 'devices', 'straightforward', 'operated'], ['bits', 'devices', 'straightforward', 'provision'], ['use.', 'straightforward', 'devices', 'others'], ['use.', 'straightforward', 'external', 'channel', 'amounts', 'key'], ['use.', 'straightforward', 'address width'], ['use.', 'straightforward', 'operated'], ['use.', 'straightforward', 'provision'], ['others', 'devices', 'straightforward', 'external', 'channel', 'amounts', 'key'], ['others', 'devices', 'straightforward', 'address width'], ['others', 'devices', 'straightforward', 'operated'], ['others', 'devices', 'straightforward', 'provision'], ['key', 'amounts', 'channel', 'external', 'straightforward', 'address width'], ['key', 'amounts', 'channel', 'external', 'straightforward', 'operated'], ['key', 'amounts', 'channel', 'external', 'straightforward', 'provision'], ['address width', 'straightforward', 'operated'], ['address width', 'straightforward', 'provision'], ['operated', 'straightforward', 'provision']]"
"('lowest', 'default')","[['lowest', 'default']]"
"('parameters.', 'interfaces', 'achieve this,', 'ground')","[['parameters.', 'ground', 'achieve this,']]"
"('limited', 'supported', 'unsupported', 'diagram', 'condition', 'configurations')","[['limited', 'supported', 'configurations', 'condition', 'unsupported'], ['limited', 'supported', 'configurations', 'diagram'], ['unsupported', 'condition', 'configurations', 'diagram']]"
"('recommended', '3.1')","[['recommended', '3.1']]"
"('3.4.2',)",[['3.4.2']]
"('input pin', 'vdd')","[['input pin', 'vdd']]"
"('4.4',)",[['4.4']]
"('figure7', 'figure')","[['figure7', 'figure']]"
"('array processor', 'clearconnect')","[['array processor', 'clearconnect']]"
"('passes', 'different', 'responsible', 'returned', 'input clock')","[['different', 'passes', 'responsible'], ['different', 'passes', 'returned'], ['different', 'passes', 'input clock'], ['responsible', 'passes', 'returned'], ['responsible', 'passes', 'input clock'], ['returned', 'passes', 'input clock']]"
"('host processor', 'dma', 'cdo', 'processor core')","[['cdo', 'host processor', 'dma', 'processor core']]"
"('communication', 'booting')","[['communication', 'booting']]"
"('pcie',)",[['pcie']]
"('table', 'contents')","[['table', 'contents']]"
"('2.4',)",[['2.4']]
"('respect', 'widths', 'physical')","[['respect', 'physical', 'widths']]"
"('polarity', 'slot', 'lane', 'lane reversal', '2.7.4', 'connect', 'configuration', 'reversal.', 'card', 'host lane')","[['slot', 'polarity', 'reversal.', 'connect', 'configuration', 'lane reversal', 'lane'], ['slot', 'polarity', 'reversal.', 'connect', 'configuration', '2.7.4'], ['slot', 'polarity', 'card'], ['slot', 'polarity', 'reversal.', 'connect', 'configuration', 'host lane'], ['lane', 'lane reversal', 'configuration', '2.7.4'], ['lane', 'lane reversal', 'configuration', 'connect', 'reversal.', 'polarity', 'card'], ['lane', 'lane reversal', 'configuration', 'host lane'], ['2.7.4', 'configuration', 'connect', 'reversal.', 'polarity', 'card'], ['2.7.4', 'configuration', 'host lane'], ['card', 'polarity', 'reversal.', 'connect', 'configuration', 'host lane']]"
"('standard',)",[['standard']]
"('1.1.2', 'mono controller')","[['1.1.2', 'mono controller']]"
"('reside', 'core', 'optimize', 'layout', 'column', 'ids', 'strobes', 'hardware', 'system logic', 'nomenclature', 'groups', 'id', 'spreadsheet', 'bus address')","[['core', 'hardware', 'reside', 'bus address', 'optimize'], ['core', 'hardware', 'reside', 'column'], ['core', 'hardware', 'reside', 'ids'], ['core', 'hardware', 'reside', 'strobes'], ['core', 'hardware', 'reside', 'system logic'], ['core', 'hardware', 'reside', 'nomenclature'], ['core', 'hardware', 'reside', 'groups'], ['core', 'hardware', 'reside', 'layout', 'id'], ['core', 'hardware', 'reside', 'spreadsheet'], ['optimize', 'bus address', 'reside', 'column'], ['optimize', 'bus address', 'reside', 'ids'], ['optimize', 'bus address', 'reside', 'strobes'], ['optimize', 'bus address', 'reside', 'system logic'], ['optimize', 'bus address', 'reside', 'nomenclature'], ['optimize', 'bus address', 'reside', 'groups'], ['optimize', 'bus address', 'reside', 'layout', 'id'], ['optimize', 'bus address', 'reside', 'spreadsheet'], ['column', 'reside', 'ids'], ['column', 'reside', 'strobes'], ['column', 'reside', 'system logic'], ['column', 'reside', 'nomenclature'], ['column', 'reside', 'groups'], ['column', 'reside', 'layout', 'id'], ['column', 'reside', 'spreadsheet'], ['ids', 'reside', 'strobes'], ['ids', 'reside', 'system logic'], ['ids', 'reside', 'nomenclature'], ['ids', 'reside', 'groups'], ['ids', 'reside', 'layout', 'id'], ['ids', 'reside', 'spreadsheet'], ['strobes', 'reside', 'system logic'], ['strobes', 'reside', 'nomenclature'], ['strobes', 'reside', 'groups'], ['strobes', 'reside', 'layout', 'id'], ['strobes', 'reside', 'spreadsheet'], ['system logic', 'reside', 'nomenclature'], ['system logic', 'reside', 'groups'], ['system logic', 'reside', 'layout', 'id'], ['system logic', 'reside', 'spreadsheet'], ['nomenclature', 'reside', 'groups'], ['nomenclature', 'reside', 'layout', 'id'], ['nomenclature', 'reside', 'spreadsheet'], ['groups', 'reside', 'layout', 'id'], ['groups', 'reside', 'spreadsheet'], ['id', 'layout', 'reside', 'spreadsheet']]"
"('hrss', 'register control', 'dma unit')","[['register control', 'hrss', 'dma unit']]"
"('thdn1/thdp1', 'lm86', 'kbyte')","[['thdn1/thdp1', 'kbyte', 'lm86']]"
"('2.7.5', 'thermal', 'thermal monitor', 'integration', 'processor system')","[['2.7.5', 'thermal', 'thermal monitor'], ['2.7.5', 'thermal', 'processor system', 'integration'], ['thermal monitor', 'thermal', 'processor system', 'integration']]"
"('chip', 'on-chip network', 'clearconnect on-chip', 'chip-to-chip')","[['on-chip network', 'chip', 'clearconnect on-chip'], ['on-chip network', 'chip', 'chip-to-chip'], ['clearconnect on-chip', 'chip', 'chip-to-chip']]"
"('pci express',)",[['pci express']]
"('peripherals', 'variable', 'transferring', 'features')","[['peripherals', 'features', 'variable'], ['peripherals', 'features', 'transferring'], ['variable', 'features', 'transferring']]"
"('2.6',)",[['2.6']]
"('state machine', 'however', 'drives', 'summarized')","[['state machine', 'however', 'drives', 'summarized']]"
"('supplies', '3.4.4')","[['supplies', '3.4.4']]"
