"('clk_i signal,',)","[['clk_i signal,']]"
"('unregistered', 'respective', 'subsidiaries', 'violators', 'rights', 'personal', 'media', 'penalties', 'topological', 'reviews', 'referenced', 'claimed', 'excerpts', 'criminal', 'permitted', 'fines', 'posted')","[['unregistered', 'claimed', 'rights', 'subsidiaries'], ['unregistered', 'claimed', 'violators'], ['unregistered', 'claimed', 'personal'], ['unregistered', 'claimed', 'media'], ['unregistered', 'claimed', 'penalties'], ['unregistered', 'claimed', 'rights', 'topological'], ['unregistered', 'claimed', 'reviews'], ['unregistered', 'claimed', 'permitted', 'respective', 'referenced'], ['unregistered', 'claimed', 'excerpts'], ['unregistered', 'claimed', 'criminal'], ['unregistered', 'claimed', 'fines'], ['unregistered', 'claimed', 'posted'], ['subsidiaries', 'rights', 'claimed', 'violators'], ['subsidiaries', 'rights', 'claimed', 'personal'], ['subsidiaries', 'rights', 'claimed', 'media'], ['subsidiaries', 'rights', 'claimed', 'penalties'], ['subsidiaries', 'rights', 'topological'], ['subsidiaries', 'rights', 'claimed', 'reviews'], ['subsidiaries', 'rights', 'claimed', 'permitted', 'respective', 'referenced'], ['subsidiaries', 'rights', 'claimed', 'excerpts'], ['subsidiaries', 'rights', 'claimed', 'criminal'], ['subsidiaries', 'rights', 'claimed', 'fines'], ['subsidiaries', 'rights', 'claimed', 'posted'], ['violators', 'claimed', 'personal'], ['violators', 'claimed', 'media'], ['violators', 'claimed', 'penalties'], ['violators', 'claimed', 'rights', 'topological'], ['violators', 'claimed', 'reviews'], ['violators', 'claimed', 'permitted', 'respective', 'referenced'], ['violators', 'claimed', 'excerpts'], ['violators', 'claimed', 'criminal'], ['violators', 'claimed', 'fines'], ['violators', 'claimed', 'posted'], ['personal', 'claimed', 'media'], ['personal', 'claimed', 'penalties'], ['personal', 'claimed', 'rights', 'topological'], ['personal', 'claimed', 'reviews'], ['personal', 'claimed', 'permitted', 'respective', 'referenced'], ['personal', 'claimed', 'excerpts'], ['personal', 'claimed', 'criminal'], ['personal', 'claimed', 'fines'], ['personal', 'claimed', 'posted'], ['media', 'claimed', 'penalties'], ['media', 'claimed', 'rights', 'topological'], ['media', 'claimed', 'reviews'], ['media', 'claimed', 'permitted', 'respective', 'referenced'], ['media', 'claimed', 'excerpts'], ['media', 'claimed', 'criminal'], ['media', 'claimed', 'fines'], ['media', 'claimed', 'posted'], ['penalties', 'claimed', 'rights', 'topological'], ['penalties', 'claimed', 'reviews'], ['penalties', 'claimed', 'permitted', 'respective', 'referenced'], ['penalties', 'claimed', 'excerpts'], ['penalties', 'claimed', 'criminal'], ['penalties', 'claimed', 'fines'], ['penalties', 'claimed', 'posted'], ['topological', 'rights', 'claimed', 'reviews'], ['topological', 'rights', 'claimed', 'permitted', 'respective', 'referenced'], ['topological', 'rights', 'claimed', 'excerpts'], ['topological', 'rights', 'claimed', 'criminal'], ['topological', 'rights', 'claimed', 'fines'], ['topological', 'rights', 'claimed', 'posted'], ['reviews', 'claimed', 'permitted', 'respective', 'referenced'], ['reviews', 'claimed', 'excerpts'], ['reviews', 'claimed', 'criminal'], ['reviews', 'claimed', 'fines'], ['reviews', 'claimed', 'posted'], ['referenced', 'respective', 'permitted', 'claimed', 'excerpts'], ['referenced', 'respective', 'permitted', 'claimed', 'criminal'], ['referenced', 'respective', 'permitted', 'claimed', 'fines'], ['referenced', 'respective', 'permitted', 'claimed', 'posted'], ['excerpts', 'claimed', 'criminal'], ['excerpts', 'claimed', 'fines'], ['excerpts', 'claimed', 'posted'], ['criminal', 'claimed', 'fines'], ['criminal', 'claimed', 'posted'], ['fines', 'claimed', 'posted']]"
"('-num',)",[['-num']]
"('multiplication', 'xor')","[['multiplication', 'xor']]"
"('float conversion',)",[['float conversion']]
"('op1',)",[['op1']]
"('contains',)",[['contains']]
"('simple', 'clearly')","[['simple', 'clearly']]"
"('truncate',)",[['truncate']]
"('turn', 'converted', 'converts', 'performed')","[['converted', 'turn', 'converts'], ['converted', 'turn', 'performed'], ['converts', 'turn', 'performed']]"
"('result address add',)",[['result address add']]
"('inline',)",[['inline']]
"('nearest', 'programming', 'round')","[['nearest', 'round', 'programming']]"
"('defined',)",[['defined']]
"('normalized',)",[['normalized']]
"('//',)",[['//']]
"('demonstrated', 'understanding')","[['demonstrated', 'understanding']]"
"('nan bit', 'input value')","[['nan bit', 'input value']]"
"('tsk3000a', 'risc', 'risc processor')","[['tsk3000a', 'risc', 'risc processor']]"
"('peripherals', 'would')","[['peripherals', 'would']]"
"('returns', 'divide')","[['returns', 'divide']]"
"('00000000',)",[['00000000']]
"('smaller', 'things', 'complicated', 'taken', 'making', 'subtracting')","[['things', 'smaller', 'complicated'], ['things', 'smaller', 'making', 'taken'], ['things', 'smaller', 'subtracting'], ['complicated', 'smaller', 'making', 'taken'], ['complicated', 'smaller', 'subtracting'], ['taken', 'making', 'smaller', 'subtracting']]"
"('necessary', 'however')","[['necessary', 'however']]"
"('distinct', 'comparison', 'distinct values,')","[['distinct', 'comparison', 'distinct values,']]"
"('wb_intercon configurable wishbone interconnect', 'wb_intercon configurable', 'interconnect')","[['wb_intercon configurable wishbone interconnect', 'wb_intercon configurable', 'interconnect']]"
"('status', 'outputs', 'applicable', 'status address', 'presenting', 'output', 'present')","[['status address', 'status', 'outputs', 'applicable', 'presenting'], ['status address', 'status', 'outputs', 'output'], ['status address', 'status', 'outputs', 'applicable', 'present'], ['presenting', 'applicable', 'outputs', 'output'], ['presenting', 'applicable', 'present'], ['output', 'outputs', 'applicable', 'present']]"
"('virtex-ii', 'subtraction')","[['virtex-ii', 'subtraction']]"
"('influence',)",[['influence']]
"('< opb,', 'inverse', 'original')","[['< opb,', 'inverse', 'original']]"
"('treated', 'discussed', 'specifically', 'next')","[['treated', 'discussed', 'specifically', 'next']]"
"('date',)",[['date']]
"('prepares', 'addressed', 'identifying')","[['prepares', 'identifying', 'addressed']]"
"('processing',)",[['processing']]
"('+num +infinity', '-infinity')","[['+num +infinity', '-infinity']]"
"('bus mode', 'word addressing', 'interface ensure', 'input address', 'output address', 'line', 'wb_intercon device')","[['bus mode', 'input address', 'word addressing', 'interface ensure'], ['bus mode', 'input address', 'wb_intercon device', 'output address'], ['bus mode', 'input address', 'line'], ['interface ensure', 'word addressing', 'input address', 'wb_intercon device', 'output address'], ['interface ensure', 'word addressing', 'input address', 'line'], ['output address', 'wb_intercon device', 'input address', 'line']]"
"('inputs', 'asserting', 'target', 'indicating', 'monitors')","[['inputs', 'target', 'asserting'], ['inputs', 'target', 'indicating'], ['inputs', 'target', 'monitors'], ['asserting', 'target', 'indicating'], ['asserting', 'target', 'monitors'], ['indicating', 'target', 'monitors']]"
"('convert', 'notation')","[['convert', 'notation']]"
"('rise', 'processor interface', 'host processor', 'host', 'host processor interface signals', 'address', 'io_cyc_o outputs,')","[['rise', 'processor interface', 'host', 'host processor interface signals'], ['rise', 'processor interface', 'host', 'io_cyc_o outputs,'], ['host processor interface signals', 'host', 'io_cyc_o outputs,']]"
"('busy register bit',)",[['busy register bit']]
"('maxexp', 'precision')","[['maxexp', 'precision']]"
"('wishbone device', 'acknowledgement signal', 'standard wishbone', 'bus cycle')","[['wishbone device', 'bus cycle', 'acknowledgement signal'], ['wishbone device', 'bus cycle', 'standard wishbone'], ['acknowledgement signal', 'bus cycle', 'standard wishbone']]"
"('example interfacing',)",[['example interfacing']]
"('wishbone interconnect device', 'address line', 'wb_fpu device', 'wishbone interconnect')","[['wishbone interconnect device', 'wishbone interconnect', 'address line', 'wb_fpu device']]"
"('float result', 'float result address', 'float result address itof')","[['float result', 'float result address', 'float result address itof']]"
"('consists',)",[['consists']]
"('start', 'strobe')","[['start', 'strobe']]"
"(""'1'"", ""'0'"")","[[""'1'"", ""'0'""]]"
"('note',)",[['note']]
"('performing',)",[['performing']]
"('op2',)",[['op2']]
"('1.0',)",[['1.0']]
"('lowest', 'owners', 'providing', 'wb_intercon configurable wishbone', 'work', 'bytes', 'use', 'drive', 'published', 'width', 'sequential', 'uses', 'mechanical', 'design', 'copied', 'configurable', 'addressing', 'shows')","[['lowest', 'width', 'providing'], ['lowest', 'width', 'addressing', 'drive', 'configurable', 'wb_intercon configurable wishbone'], ['lowest', 'width', 'sequential', 'bytes'], ['lowest', 'width', 'addressing', 'drive', 'design', 'owners', 'use'], ['lowest', 'width', 'addressing', 'drive', 'design', 'owners', 'work', 'published'], ['lowest', 'width', 'addressing', 'drive', 'design', 'uses'], ['lowest', 'width', 'addressing', 'drive', 'design', 'owners', 'mechanical'], ['lowest', 'width', 'addressing', 'drive', 'design', 'owners', 'copied'], ['lowest', 'width', 'addressing', 'drive', 'shows'], ['providing', 'width', 'addressing', 'drive', 'configurable', 'wb_intercon configurable wishbone'], ['providing', 'width', 'sequential', 'bytes'], ['providing', 'width', 'addressing', 'drive', 'design', 'owners', 'use'], ['providing', 'width', 'addressing', 'drive', 'design', 'owners', 'work', 'published'], ['providing', 'width', 'addressing', 'drive', 'design', 'uses'], ['providing', 'width', 'addressing', 'drive', 'design', 'owners', 'mechanical'], ['providing', 'width', 'addressing', 'drive', 'design', 'owners', 'copied'], ['providing', 'width', 'addressing', 'drive', 'shows'], ['wb_intercon configurable wishbone', 'configurable', 'drive', 'addressing', 'width', 'sequential', 'bytes'], ['wb_intercon configurable wishbone', 'configurable', 'drive', 'design', 'owners', 'use'], ['wb_intercon configurable wishbone', 'configurable', 'drive', 'design', 'owners', 'work', 'published'], ['wb_intercon configurable wishbone', 'configurable', 'drive', 'design', 'uses'], ['wb_intercon configurable wishbone', 'configurable', 'drive', 'design', 'owners', 'mechanical'], ['wb_intercon configurable wishbone', 'configurable', 'drive', 'design', 'owners', 'copied'], ['wb_intercon configurable wishbone', 'configurable', 'drive', 'shows'], ['bytes', 'sequential', 'width', 'addressing', 'drive', 'design', 'owners', 'use'], ['bytes', 'sequential', 'width', 'addressing', 'drive', 'design', 'owners', 'work', 'published'], ['bytes', 'sequential', 'width', 'addressing', 'drive', 'design', 'uses'], ['bytes', 'sequential', 'width', 'addressing', 'drive', 'design', 'owners', 'mechanical'], ['bytes', 'sequential', 'width', 'addressing', 'drive', 'design', 'owners', 'copied'], ['bytes', 'sequential', 'width', 'addressing', 'drive', 'shows'], ['use', 'owners', 'work', 'published'], ['use', 'owners', 'design', 'uses'], ['use', 'owners', 'mechanical'], ['use', 'owners', 'copied'], ['use', 'owners', 'design', 'drive', 'shows'], ['published', 'work', 'owners', 'design', 'uses'], ['published', 'work', 'owners', 'mechanical'], ['published', 'work', 'owners', 'copied'], ['published', 'work', 'owners', 'design', 'drive', 'shows'], ['uses', 'design', 'owners', 'mechanical'], ['uses', 'design', 'owners', 'copied'], ['uses', 'design', 'drive', 'shows'], ['mechanical', 'owners', 'copied'], ['mechanical', 'owners', 'design', 'drive', 'shows'], ['copied', 'owners', 'design', 'drive', 'shows']]"
"('integer unit state',)",[['integer unit state']]
"('assumed', 'using')","[['assumed', 'using']]"
"('result address div',)",[['result address div']]
"('conversions',)",[['conversions']]
